*4u,kiss for you
*67,unknown
*eg*,evil grin
*g*,grin
*s*,smile
07734,hello
0day,software illegally obtained before it was released
0noe,oh no
0vr,over
1,one
10q,thank you
10tacle,tentacle
10x,thanks
12b,wannabe
1337,elite
133t,elite
13itch,b   h
143,i love you
187,murder
1ab,wannabe
1daful,wonderful
1dering,wondering
1nce,once
1sec,one second
2,to
2b,to be
2b4u,too bad for you
2bad4u2,too bad for you too
2bh,to be honest
2da,to the
2dae,today
2day,today
2ditd,today is the day
2ez,too easy
2g2b4g,to good to be forgotten
2g2bt,too good to be true
2ge4,together
2getha,together
2gether,together
2gethr,together
2getr,together
2h2h,too hot to handle
2h4u,too hot for you
2k0,2000
2k1,2001
2k2,2002
2k3,2003
2k4,2004
2k5,2005
2k6,2006
2k7,2007
2k8,2008
2k9,2009
2l8,too late
2m,tomorrow
2m4u,too much for you
2ma,tomorrow
2maro,tomorrow
2mmrw,tomorrow
2mo,tomorrow
2mora,tomorrow
2moro,tomorrow
2morow,tomorrow
2morro,tomorrow
2morrow,tommorrow
2moz,tomorrow
2mozz,tomorrow
2mro,tomorrow
2mrw,tomorrow
2mw,tomorrow
2mz,tomorrow
2night,tonight
2nite,tonight
2nyt,tonight
2o4s,too old for sex
2qt,too cute
2sday,tuesday
2tali,totally
2tm,to the max
2trd,too tired
2u2,to you too
3,three
301ing,referring traffic to another site
304,hoe
31337,elite
313373,elite
31ee7,elite
3arc,treyarch
3q,thank you
3u,thank you
3vi1,evil
3y3 y4m,i am
4,for
404,clueless
42n8,fortunate
4311,hell
4ax0r,hacker
4col,for crying out loud
4e&e,forever and ever
4eva,forever
4ever,forever
4evr,for ever
4evs,forever
4fs,for f  k s sake
4g8,forget
4gai,forget about it
4geit,forget it
4get,forget
4getu,forget you
4give,forgive
4got,forgot
4gv,forgive
4head,forehead
4hoa,four horsemen of the apocalypse
4ker,f  ker
4king,f  king
4lyf3,for life
4lyfe,for life
4m,form
4n,phone
4q,f  k you
